epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1895,0,7.22468,0,0,0,0,0,0,16.9165,0,0.0004,0.0004,0.0004
2,19.3086,0,6.69916,0,0,0,0,0,0,16.4998,0,0.000811882,0.000811882,0.000811882
3,29.4323,0,6.1033,0,0,0,0,0,0,15.0069,0,0.00121545,0.00121545,0.00121545
4,40.2262,0,5.63254,0,0,0,0,0,0,13.2967,0,0.0016107,0.0016107,0.0016107
5,54.0004,0,5.27059,0,0,0,0,0,0,22.8464,0,0.0019208,0.0019208,0.0019208
6,66.1735,0,4.98608,0,0,0,0,0,0,8.38502,0,0.001901,0.001901,0.001901
7,77.2349,0,4.75352,0,0,0,0,0,0,7.83701,0,0.0018812,0.0018812,0.0018812
8,87.7985,0,4.49953,0,0,0,0,0,0,5.44856,0,0.0018614,0.0018614,0.0018614
9,98.3385,0,4.25926,0,0,0,0,0,0,6.13371,0,0.0018416,0.0018416,0.0018416
10,109.875,0,4.06059,0,0,0,0,0,0,7.04756,0,0.0018218,0.0018218,0.0018218
11,121.037,0,3.88045,0,0,0,0,0,0,6.94031,0,0.001802,0.001802,0.001802
12,132.395,0,3.6871,0,0,0,0,0,0,6.71554,0,0.0017822,0.0017822,0.0017822
13,143.615,0,3.53191,0,0,0,0,0,0,6.42557,0,0.0017624,0.0017624,0.0017624
14,154.802,0,3.39263,0,0,0,0,0,0,6.21459,0,0.0017426,0.0017426,0.0017426
15,167.242,0,3.22417,0,0,0,0,0,0,6.1306,0,0.0017228,0.0017228,0.0017228
16,179.809,0,3.1068,0,0,0,0,0,0,6.11601,0,0.001703,0.001703,0.001703
17,191.869,0,2.97622,0,0,0,0,0,0,6.09966,0,0.0016832,0.0016832,0.0016832
18,203.523,0,2.84235,0,0,0,0,0,0,6.08886,0,0.0016634,0.0016634,0.0016634
19,214.745,0,2.72786,0,0,0,0,0,0,5.9133,0,0.0016436,0.0016436,0.0016436
20,226.329,0,2.62185,0,0,0,0,0,0,5.69689,0,0.0016238,0.0016238,0.0016238
21,238.006,0,2.50802,0,0,0,0,0,0,4.74506,0,0.001604,0.001604,0.001604
22,250.506,0,2.40147,0,0,0,0,0,0,5.15994,0,0.0015842,0.0015842,0.0015842
23,261.126,0,2.30988,0,0,0,0,0,0,4.96648,0,0.0015644,0.0015644,0.0015644
24,271.793,0,2.21546,0,0,0,0,0,0,4.7766,0,0.0015446,0.0015446,0.0015446
25,283.55,0,2.11773,0,0,0,0,0,0,4.70578,0,0.0015248,0.0015248,0.0015248
26,295.04,0,2.04076,0,0,0,0,0,0,4.56979,0,0.001505,0.001505,0.001505
27,306.791,0,1.96021,0,0,0,0,0,0,4.28016,0,0.0014852,0.0014852,0.0014852
