epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65339,0.93135,2.15515,1.13833,0.91618,0.34889,0.79624,0.60619,0.76471,2.15005,0.99448,0.0004,0.0004,0.0004
2,20.2003,0.9703,1.27837,1.179,0.81145,0.82412,0.85309,0.58459,1.05406,1.25045,1.17124,0.000811882,0.000811882,0.000811882
3,31.1679,0.96173,1.09092,1.13132,0.78925,0.87651,0.85589,0.63937,0.88555,1.1255,1.07582,0.00121545,0.00121545,0.00121545
4,41.9173,0.97364,1.1007,1.11349,0.87142,0.7766,0.83698,0.60001,0.94011,1.38589,1.16617,0.0016107,0.0016107,0.0016107
5,53.4753,1.03328,1.29022,1.18705,0.9434,0.53191,0.75236,0.41038,1.33906,11.416,1.73365,0.0019208,0.0019208,0.0019208
6,67.1836,1.07512,1.18177,1.21018,0.36587,0.78723,0.65589,0.44664,1.07905,4.87338,1.34988,0.001901,0.001901,0.001901
7,79.7947,1.0238,1.14203,1.2065,0.36825,0.78723,0.46234,0.26455,1.37518,3.46071,1.39461,0.0018812,0.0018812,0.0018812
8,92.1553,0.98946,1.06955,1.14337,0.71397,0.87634,0.85715,0.64539,0.86562,1.60917,1.05721,0.0018614,0.0018614,0.0018614
9,104.829,1.06325,1.12067,1.1831,0.93405,0.8617,0.9306,0.7284,0.82486,1.25548,1.01903,0.0018416,0.0018416,0.0018416
10,116.673,1.01248,1.09531,1.22585,0.85789,0.8991,0.90806,0.6823,0.88652,1.23873,1.04162,0.0018218,0.0018218,0.0018218
11,128.198,1.02599,1.07845,1.14372,0.88684,0.87234,0.92461,0.67443,0.92198,1.10397,1.06386,0.001802,0.001802,0.001802
12,139.927,0.92804,1.01562,1.12339,0.95011,0.78723,0.91238,0.65329,0.92726,1.11913,1.06517,0.0017822,0.0017822,0.0017822
13,151.163,0.96109,1.0043,1.14313,0.91117,0.87301,0.91335,0.68657,0.91079,1.05661,1.0811,0.0017624,0.0017624,0.0017624
14,162.363,1.05108,1.06969,1.15355,0.93809,0.89362,0.95471,0.70962,0.91722,1.25762,1.09831,0.0017426,0.0017426,0.0017426
15,173.634,0.9661,0.9457,1.18169,0.95856,0.87234,0.95135,0.69959,0.93883,1.11247,1.10786,0.0017228,0.0017228,0.0017228
16,184.969,1.00851,1.02303,1.18404,0.94954,0.78723,0.91917,0.68901,0.89689,1.13185,1.10386,0.001703,0.001703,0.001703
17,196.174,0.97459,0.95197,1.12593,0.97525,0.76596,0.89748,0.67901,0.91432,1.06676,1.11376,0.0016832,0.0016832,0.0016832
18,207.374,0.93906,0.94045,1.1193,0.97493,0.82732,0.94427,0.71446,0.83354,0.94243,1.0297,0.0016634,0.0016634,0.0016634
19,218.457,0.95493,0.96117,1.15011,0.94613,0.93422,0.96485,0.76078,0.7792,0.87076,1.0011,0.0016436,0.0016436,0.0016436
20,229.771,0.95291,0.9357,1.14504,0.94551,0.92292,0.96367,0.75522,0.80239,0.85017,1.02507,0.0016238,0.0016238,0.0016238
21,240.755,0.89453,0.93614,1.12343,0.93837,0.97197,0.96723,0.77241,0.74039,0.84997,0.97659,0.001604,0.001604,0.001604
22,251.954,0.91875,0.92742,1.12348,0.8483,0.95188,0.92543,0.73183,0.78014,0.97515,0.99619,0.0015842,0.0015842,0.0015842
23,263.228,0.92246,0.83306,1.10105,0.87182,0.95745,0.93628,0.74534,0.79723,0.95742,1.02341,0.0015644,0.0015644,0.0015644
24,274.713,0.94429,0.89116,1.13727,0.97249,0.90426,0.96277,0.75022,0.88198,0.97209,1.05803,0.0015446,0.0015446,0.0015446
25,287.794,0.98404,0.88133,1.10867,0.85332,0.88298,0.93255,0.65288,0.93353,1.18917,1.05071,0.0015248,0.0015248,0.0015248
26,300.005,0.90861,0.81038,1.13306,0.92029,0.81915,0.92794,0.58624,0.89229,1.32262,1.05475,0.001505,0.001505,0.001505
27,311.742,0.8839,0.79426,1.10731,0.88389,0.93617,0.94245,0.71093,0.85789,0.9262,1.00956,0.0014852,0.0014852,0.0014852
28,324.502,0.86503,0.81078,1.09721,0.94787,0.96715,0.9594,0.74536,0.83438,0.82106,1.01296,0.0014654,0.0014654,0.0014654
29,336.646,0.86814,0.81362,1.0948,0.95724,0.95745,0.96212,0.74306,0.82297,0.75815,1.00815,0.0014456,0.0014456,0.0014456
30,348.517,0.99139,0.93849,1.1565,0.87352,0.78723,0.90837,0.66852,0.92497,1.04236,1.0524,0.0014258,0.0014258,0.0014258
31,359.803,0.87078,0.79611,1.07359,0.89428,0.89993,0.94664,0.7149,0.85576,0.91321,1.01854,0.001406,0.001406,0.001406
